year,World,% change in emission
1970,4.25E+11,0
1971,4.40E+11,4%
1972,4.57E+11,4%
1973,4.73E+11,4%
1974,4.90E+11,4%
1975,5.07E+11,3%
1976,5.25E+11,4%
1977,5.43E+11,3%
1978,5.62E+11,3%
1979,5.81E+11,3%
1980,6.01E+11,3%
1981,6.20E+11,3%
1982,6.38E+11,3%
1983,6.57E+11,3%
1984,6.76E+11,3%
1985,6.96E+11,3%
1986,7.16E+11,3%
1987,7.37E+11,3%
1988,7.59E+11,3%
1989,7.81E+11,3%
1990,8.03E+11,3%
1991,8.26E+11,3%
1992,8.48E+11,3%
1993,8.70E+11,3%
1994,8.92E+11,3%
1995,9.15E+11,3%
1996,9.39E+11,3%
1997,9.63E+11,3%
1998,9.87E+11,2%
1999,1.01E+12,2%
2000,1.04E+12,3%
2001,1.06E+12,2%
2002,1.09E+12,3%
2003,1.11E+12,2%
2004,1.14E+12,3%
2005,1.17E+12,3%
2006,1.20E+12,3%
2007,1.23E+12,3%
2008,1.26E+12,2%
2009,1.29E+12,2%
2010,1.33E+12,3%
2011,1.36E+12,2%
2012,1.40E+12,3%
2013,1.43E+12,2%
2014,1.47E+12,3%
2015,1.50E+12,2%
2016,1.54E+12,3%
2017,1.58E+12,3%
